normalization,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,
,20200222,,60.263,,,,,20200301,,83.019,,,,,20200229,,46.723,,,,,20200304,,6.573,,,,,20200219,,51.709,,,,,20200301,,67.545,,,,,20200227,,10.333,,,,,20200227,,0.521,,,,,20200229,,8.903,,,,,20200227,,8.655,,,,,20200307,,331.003,,,,
day,n(it),t(it),nx(it),tx(it),q(it),td(it),in(it),n(de),t(de),nx(de),tx(de),q(de),td(de),in(de),n(es),t(es),nx(es),tx(es),q(es),td(es),in(es),n(ie),t(ie),nx(ie),tx(ie),q(ie),td(ie),in(ie),n(kr),t(kr),nx(kr),tx(kr),q(kr),td(kr),in(kr),n(uk),t(uk),nx(uk),tx(uk),q(uk),td(uk),in(uk),n(se),t(se),nx(se),tx(se),q(se),td(se),in(se),n(st),t(st),nx(st),tx(st),q(st),td(st),in(st),n(at),t(at),nx(at),tx(at),q(at),td(at),in(at),n(ch),t(ch),nx(ch),tx(ch),q(ch),td(ch),in(ch),n(us),t(us),nx(us),tx(us),q(us),td(us),in(us)
35,5909,86498,5909,86498,1.07,8.7,65.5,4933,96092,3581,69753,1.05,9.6,46.3,7134,119199,9201,153742,1.06,8.5,114.5,345,5709,3163,52342,1.06,8.2,37.6,76,9037,89,10532,1.01,58.1,1.4,3735,41903,3332,37385,1.10,5.4,36.7,512,4947,2986,28851,1.12,7.5,23.4,46,1398,5321,161704,1.03,9.6,107.9,395,11524,2674,78004,1.04,12.5,43.0,1163,17768,8098,123715,1.07,10.2,79.4,34089,509604,6206,92779,1.07,8.8,68.3
36,5974,92472,5974,92472,1.07,9.3,64.5,4031,100123,2926,72679,1.04,10.3,45.4,6969,126168,8989,162731,1.06,9.1,113.3,365,6074,3346,55688,1.06,9.1,40.0,100,9137,117,10648,1.01,64.3,1.4,5903,47806,5267,42652,1.14,5.4,41.9,621,5568,3622,32473,1.13,7.0,26.4,45,1443,5205,166909,1.03,11.4,102.3,257,11781,1740,79744,1.02,14.1,39.4,1059,18827,7374,131089,1.06,11.0,81.1,30338,539942,5523,98303,1.06,9.2,67.1
37,5217,97689,5217,97689,1.06,9.8,64.0,3252,103375,2361,75039,1.03,11.4,44.0,5478,131646,7065,169796,1.04,10.3,110.3,500,6574,4584,60272,1.08,9.6,41.5,104,9241,121,10770,1.01,63.1,1.3,3802,51608,3392,46044,1.08,5.8,43.6,563,6131,3283,35757,1.10,7.2,29.6,79,1522,9138,176047,1.05,12.1,99.6,270,12051,1828,81571,1.02,18.4,36.7,779,19606,5424,136513,1.04,12.5,77.2,27766,567708,5055,103358,1.05,10.0,67.7
38,4050,101739,4050,101739,1.04,10.8,62.7,4288,107663,3113,78152,1.04,12.9,43.2,5029,136675,6486,176282,1.04,11.7,104.3,1515,8089,13890,74162,1.23,7.3,58.1,91,9332,106,10876,1.01,70.7,1.3,3634,55242,3242,49286,1.07,6.6,44.6,312,6443,1820,37576,1.05,7.5,29.0,89,1611,10294,186341,1.06,14.3,101.5,246,12297,1665,83236,1.02,22.0,30.1,899,20505,6260,142772,1.05,12.8,74.3,26985,594693,4913,108271,1.05,11.1,66.3
39,4053,105792,4053,105792,1.04,11.8,60.8,5633,113296,4089,82241,1.05,14.3,42.5,5267,141942,6793,183076,1.04,13.4,98.5,839,8928,7692,81854,1.10,7.1,65.8,146,9478,170,11046,1.02,65.7,1.3,5491,60733,4899,54185,1.10,7.0,46.3,387,6830,2257,39833,1.06,7.8,30.3,42,1653,4858,191199,1.03,16.9,86.0,342,12639,2315,85551,1.03,25.1,27.6,595,21100,4143,146915,1.03,14.7,72.5,27260,621953,4963,113234,1.05,12.1,64.3
40,4782,110574,4782,110574,1.05,13.1,60.1,4939,118235,3585,85826,1.04,16.0,40.3,6278,148220,8097,191173,1.04,14.9,94.4,727,9655,6665,88520,1.08,7.0,70.9,105,9583,122,11168,1.01,62.0,1.3,4344,65077,3876,58061,1.07,7.8,46.4,376,7206,2193,42026,1.06,8.5,30.8,79,1732,9138,200337,1.05,16.8,84.5,303,12942,2051,87602,1.02,27.5,25.1,557,21657,3878,150793,1.03,15.6,66.3,30521,652474,5557,118791,1.05,13.1,63.7
41,4668,115242,4668,115242,1.04,14.5,57.5,3936,122171,2857,88683,1.03,17.3,37.4,5002,153222,6452,197625,1.03,16.6,88.1,992,10647,9095,97615,1.10,6.6,80.4,78,9661,91,11259,1.01,62.3,1.4,8681,73758,7745,65806,1.13,7.3,52.7,487,7693,2840,44866,1.07,9.4,31.5,59,1791,6824,207161,1.03,16.8,84.3,302,13244,2044,89647,1.02,29.9,23.8,596,22253,4150,154943,1.03,18.4,65.3,29980,682454,5458,124249,1.05,14.2,62.5
42,4585,119827,4585,119827,1.04,16.0,55.3,3281,125452,2382,91065,1.03,18.4,35.4,5051,158273,6515,204139,1.03,18.3,83.6,832,11479,7628,105243,1.08,6.5,87.8,125,9786,146,11405,1.01,60.6,1.4,5233,78991,4669,70475,1.07,8.3,54.9,726,8419,4234,49100,1.09,10.0,33.6,68,1859,7865,215027,1.04,16.4,88.5,316,13560,2139,91785,1.02,29.6,22.9,1027,23280,7151,162094,1.05,19.6,63.7,32368,714822,5893,130142,1.05,14.8,62.0
43,4805,124632,4805,124632,1.04,17.1,53.4,2402,127854,1744,92808,1.02,19.5,33.4,4754,163027,6132,210271,1.03,19.4,78.9,1068,12547,9792,115034,1.09,6.4,98.5,101,9887,118,11523,1.01,61.5,1.5,5288,84279,4718,75193,1.07,8.5,54.0,722,9141,4211,53311,1.09,10.4,34.6,52,1911,6015,221041,1.03,18.2,89.8,246,13806,1665,93451,1.02,30.6,22.7,771,24051,5368,167462,1.03,20.3,60.4,29079,743901,5294,135436,1.04,15.4,61.6
44,4316,128948,4316,128948,1.03,17.5,51.9,2218,130072,1610,94418,1.02,21.9,32.2,3804,166831,4906,215177,1.02,20.8,75.3,724,13271,6638,121672,1.06,8.4,101.9,89,9976,104,11626,1.01,62.3,1.4,4342,88621,3874,79067,1.05,8.8,54.8,544,9685,3173,56484,1.06,10.2,34.4,63,1974,7287,228329,1.03,20.5,86.8,139,13945,941,94392,1.01,33.0,21.3,500,24551,3481,170944,1.02,23.1,57.1,26113,770014,4754,140190,1.04,16.1,61.1
