country,nx,tx,nx_avg
uk,3414,177906,3417
uk,3361,181267,3265
uk,2733,184000,3051
uk,1924,185924,2915
uk,2078,188002,2831
uk,3199,191202,2856
uk,3035,194237,2821
uk,2950,197187,2754
uk,2345,199532,2609
uk,2254,201786,2541
uk,1855,203641,2531
uk,1640,205281,2468
uk,2310,207590,2341
uk,2723,210313,2297
uk,2425,212738,2222
uk,2296,215035,2215
uk,1840,216875,2156
uk,1362,218237,2085
uk,1217,219454,2025
uk,1449,220903,1902
uk,1492,222395,1726
uk,1637,224032,1613
uk,1570,225602,1510
uk,1362,226964,1441
uk,1004,227968,1390
uk,963,228931,1354
uk,1286,230216,1331
uk,1324,231540,1307
uk,1210,232750,1245
uk,1109,233859,1180
uk,999,234858,1128
uk,715,235573,1086
uk,643,236216,1041
uk,981,237197,997
uk,1033,238230,956
uk,1070,239300,936
uk,907,240207,907
uk,939,241146,898
uk,794,241940,910
uk,733,242673,922
uk,931,243604,915
uk,983,244587,908
uk,904,245491,884
uk,916,246407,886
uk,880,247287,877
uk,613,247900,851
uk,570,248470,828
uk,799,249269,809
uk,790,250060,782
uk,694,250754,752
uk,643,251397,713
uk,599,251996,673
uk,579,252575,668
uk,398,252973,643
uk,651,253624,622
uk,550,254174,588
uk,581,254755,572
uk,537,255292,556
uk,517,255809,545
uk,358,256167,513
uk,495,256662,527
uk,628,257290,524
uk,533,257823,521
uk,618,258441,527
uk,638,259079,541
uk,504,259583,539
uk,394,259977,544
uk,322,260299,520
uk,648,260947,522
uk,611,261558,534
uk,689,262247,544
uk,628,262875,542
uk,508,263383,543
uk,440,263822,549
uk,368,264191,556
uk,708,264898,565
uk,670,265568,573
uk,690,266258,573
uk,652,266910,576
uk,595,267505,589
uk,376,267881,580
uk,331,268212,574
uk,62,268275,482
uk,681,268955,484
uk,755,269710,493
uk,785,270495,512
uk,,,427
uk,,,373
uk,,,326
uk,,,317
uk,,,220
uk,,,112
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
uk,,,
se,6,12,18
se,29,41,17
se,29,70,21
se,6,76,19
se,6,82,17
se,6,87,15
se,52,140,19
se,64,204,27
se,152,356,45
se,443,799,104
se,140,939,123
se,245,1184,157
se,262,1446,194
se,455,1901,252
se,793,2694,356
se,921,3616,466
se,904,4520,532
se,869,5389,636
se,630,6019,691
se,519,6538,727
se,268,6806,701
se,782,7588,699
se,712,8299,669
se,1166,9465,707
se,717,10183,685
se,933,11116,728
se,642,11757,746
se,1493,13251,921
se,1388,14639,1007
se,1726,16365,1152
se,1400,17765,1186
se,2339,20103,1417
se,1476,21579,1495
se,1913,23492,1676
se,2374,25865,1802
se,2986,28851,2030
se,3027,31878,2216
se,3569,35447,2526
se,2129,37576,2496
se,2257,39833,2608
se,2193,42026,2648
se,2840,44866,2714
se,4234,49100,2893
se,4211,53311,3062
se,3173,56484,3005
se,2718,59202,3089
se,1936,61138,3044
se,2712,63850,3118
se,2899,66748,3126
se,2811,69559,2923
se,3575,73134,2832
se,3942,77077,2942
se,3534,80611,3059
se,3283,83895,3251
se,2286,86181,3190
se,3178,89359,3230
se,3977,93337,3397
se,4380,97717,3512
se,4736,102452,3625
se,3558,106010,3628
se,2700,108710,3545
se,1668,110378,3457
se,4053,114431,3582
se,3972,118403,3581
se,4607,123010,3613
se,2496,125507,3293
se,3278,128784,3253
se,1371,130155,3064
se,2356,132511,3162
se,2887,135398,2995
se,4094,139492,3013
se,4112,143604,2942
se,3744,147348,3120
se,3826,151174,3198
se,2339,153512,3337
se,2030,155542,3290
se,3511,159053,3379
se,3715,162768,3325
se,3925,166693,3298
se,3645,170338,3284
se,2741,173079,3129
se,2718,175797,3183
se,1365,177161,3089
se,2461,179623,2939
se,4222,183845,3011
se,3785,187630,2991
se,3715,191345,3001
se,2210,193555,2925
se,1580,195136,2763
se,2240,197375,2888
se,3482,200857,3034
se,3779,204636,2970
se,3727,208363,2962
se,4368,212731,3055
se,3715,216446,3270
se,2502,218948,3402
se,1586,220535,3308
se,4520,225055,3457
se,12912,237967,4761
se,6299,244265,5129
se,6159,250424,5385
se,5529,255953,5644
se,4916,260869,5989
se,2350,263220,6098
se,4613,267833,6111
se,5191,273024,5008
se,8597,281620,5336
se,8142,289762,5620
se,7273,297034,5869
se,3983,301018,5735
se,4485,305502,6040
se,5482,310985,6165
se,7226,318211,6455
se,8637,326848,6461
se,,326848,5298
se,,326848,4259
se,,326848,3690
se,16849,343697,5456
se,11110,354807,6260
se,8672,363479,6467
se,9133,372612,6538
se,7273,379885,7577
se,,379885,7577
se,,379885,7577
se,14755,394640,7278
se,4572,399212,6344
se,7238,406450,6139
se,5523,411973,5623
se,4549,416522,5234
se,,416522,5234
se,,416522,5234
se,9576,426098,4494
se,1650,427749,4077
se,2998,430747,3471
se,2770,433517,3078
se,3295,436812,2899
se,,436812,2899
se,,436812,2899
se,5412,442224,2304
se,1021,443245,2214
se,2864,446108,2195
se,2245,448354,2120
se,2356,450710,1985
se,,450710,1985
se,,450710,1985
se,4473,455183,1851
se,688,455871,1804
se,1971,457842,1676
se,1511,459353,1571
se,1365,460718,1430
se,,460718,1430
se,,460718,1430
se,2321,463039,1122
se,577,463616,1106
se,1680,465296,1065
se,1855,467151,1114
se,1878,469028,1187
se,,,1187
se,,,1187
se,,,856
se,,,773
se,,,533
se,,,268
se,,,
se,,,
se,,,
se,,,
se,,,
se,,,
at,20,68,20
at,27,95,18
at,27,122,22
at,41,162,25
at,34,196,27
at,81,278,36
at,223,501,65
at,169,670,86
at,20,690,85
at,196,887,109
at,345,1232,153
at,433,1665,210
at,778,2444,309
at,968,3411,416
at,1022,4434,538
at,1388,5821,733
at,1056,6877,856
at,2139,9016,1112
at,2125,11142,1354
at,3723,14864,1774
at,3066,17931,2074
at,2538,20469,2291
at,4109,24578,2679
at,5787,30365,3355
at,5388,35753,3820
at,4102,39855,4102
at,7723,47578,4673
at,4522,52100,4881
at,4021,56120,5093
at,3533,59654,5011
at,5449,65103,4963
at,3818,68920,4738
at,3581,72501,4664
at,2829,75330,3965
at,2680,78011,3702
at,1631,79642,3360
at,1469,81111,3065
at,2125,83236,2591
at,2322,85558,2377
at,2227,87785,2183
at,1889,89674,2049
at,2112,91785,1968
at,1672,93457,1974
at,880,94337,1889
at,717,95055,1688
at,1293,96348,1541
at,921,97268,1355
at,528,97796,1160
at,1049,98845,1009
at,399,99245,827
at,325,99570,747
at,494,100064,716
at,338,100402,579
at,616,101018,536
at,413,101431,519
at,562,101993,450
at,447,102440,456
at,372,102812,463
at,454,103265,457
at,393,103658,465
at,338,103996,425
at,406,104403,425
at,230,104633,377
